jugador_x;jugador_y;bala1_x;bala1_y;bala2_x;bala2_y;salto;movimiento
92;271;153;310;40;196;1;derecha
90;258;150;310;40;198;1;derecha
88;246;147;310;40;200;1;derecha
86;235;144;310;40;202;1;derecha
84;225;141;310;40;204;1;derecha
82;216;138;310;40;206;1;derecha
80;208;135;310;40;208;1;derecha
98;201;132;310;40;210;1;derecha
116;195;129;310;40;212;1;derecha
134;190;126;310;40;214;1;derecha
132;186;123;310;40;216;1;derecha
130;183;120;310;40;218;1;derecha
128;181;117;310;40;220;1;derecha
126;180;114;310;40;222;1;derecha
124;180;111;310;40;224;1;derecha
122;181;108;310;40;226;1;derecha
120;183;105;310;40;228;1;derecha
118;186;102;310;40;230;1;derecha
116;190;99;310;40;232;1;derecha
114;195;96;310;40;234;1;derecha
112;201;93;310;40;236;1;derecha
110;208;90;310;40;238;1;derecha
108;216;87;310;40;240;1;derecha
106;225;84;310;40;242;1;derecha
104;235;81;310;40;244;1;derecha
102;246;78;310;40;246;1;derecha
100;258;75;310;40;248;1;derecha
98;271;72;310;40;250;1;derecha
96;285;69;310;40;252;1;derecha
94;300;66;310;40;254;0;derecha
92;300;63;310;40;256;0;derecha
90;300;60;310;40;258;0;derecha
88;300;57;310;40;260;0;derecha
86;300;54;310;40;262;0;derecha
84;300;51;310;40;264;0;derecha
82;300;48;310;40;266;0;derecha
80;300;45;310;40;268;0;derecha
78;300;42;310;40;270;0;derecha
76;300;39;310;40;272;0;derecha
74;300;36;310;40;274;0;derecha
92;300;33;310;40;276;0;derecha
110;300;30;310;40;278;0;derecha
128;300;27;310;40;280;0;derecha
126;300;24;310;40;282;0;derecha
124;300;21;310;40;284;0;derecha
122;300;18;310;40;286;0;derecha
120;300;15;310;40;288;0;derecha
118;300;12;310;40;290;0;derecha
116;300;9;310;40;292;0;derecha
114;300;6;310;40;294;0;derecha
112;300;3;310;40;296;0;derecha
110;300;0;310;40;298;0;derecha
108;300;750;310;40;300;0;derecha
106;300;747;310;40;302;0;derecha
104;300;744;310;40;304;0;derecha
102;300;741;310;40;306;0;derecha
100;300;738;310;40;308;0;derecha
98;300;735;310;40;310;0;derecha
96;300;732;310;40;312;0;derecha
94;300;729;310;40;314;0;derecha
92;300;726;310;40;316;0;derecha
90;300;723;310;40;318;0;derecha
88;300;720;310;40;320;0;derecha
86;300;717;310;40;322;0;derecha
84;300;714;310;40;324;0;derecha
82;300;711;310;40;326;0;derecha
80;300;708;310;40;328;0;derecha
98;300;705;310;40;330;0;derecha
116;300;702;310;40;332;0;derecha
134;300;699;310;40;334;0;derecha
132;300;696;310;40;336;0;derecha
130;300;693;310;40;338;0;derecha
128;300;690;310;40;340;0;derecha
126;300;687;310;40;342;0;derecha
124;300;684;310;40;344;0;derecha
122;300;681;310;40;346;0;derecha
120;300;678;310;40;348;0;derecha
118;300;675;310;40;350;0;derecha
116;300;672;310;40;352;0;derecha
114;300;669;310;40;354;0;derecha
112;300;666;310;40;356;0;derecha
110;300;663;310;40;358;0;derecha
108;300;660;310;40;360;0;derecha
106;300;657;310;40;362;0;derecha
104;300;654;310;40;364;0;derecha
102;300;651;310;40;366;0;derecha
100;300;648;310;40;368;0;derecha
98;300;645;310;40;370;0;derecha
96;300;642;310;40;372;0;derecha
94;300;639;310;40;374;0;derecha
92;300;636;310;40;376;0;derecha
90;300;633;310;40;378;0;derecha
88;300;630;310;40;380;0;derecha
86;300;627;310;40;382;0;derecha
84;300;624;310;40;384;0;derecha
82;300;621;310;40;386;0;derecha
80;300;618;310;40;388;0;derecha
78;300;615;310;40;390;0;derecha
76;300;612;310;40;392;0;derecha
74;300;609;310;40;394;0;derecha
72;300;606;310;40;396;0;derecha
70;300;603;310;40;398;0;derecha
68;300;600;310;40;400;0;derecha
